zone_id,station_count,longitude,latitude,charge_count,area,perimeter,poi_food,poi_business,poi_lifestyle,mean_load_kwh,peak_load_kwh,load_cv,burstiness_p99_mean,morning_ratio,noon_ratio,evening_ratio,night_ratio,weekend_ratio,mean_service_price,service_price_std,poi_total,area_sq_km,poi_food_density,poi_business_density,poi_lifestyle_density,poi_total_density,capacity_kw_proxy,peak_capacity_ratio
102,4,114.1029445,22.5383395,30,714419.3333,3501.2154,273,327,1060,53.523300817219145,108.5,0.3229738343749066,1.700194095105661,1.0062688109016906,0.9931949108131579,0.9736505466431958,1.0221734392398842,1.0211042443255143,0.7618793738489872,0.09380143892913065,1660,0.7144193333000001,382.1285165100108,457.7143769185844,1483.7224450571848,2323.56533848578,330.0,0.3287878787878788
104,3,114.112574,22.554167333333336,19,1171733.51,4683.8446,597,425,2844,7.489166091160219,28.58333333333333,0.7705146393870652,3.0821188526243373,1.038716531515176,0.8364599722973065,0.9601448788119221,1.118641125418872,0.9512343555905806,0.7599999999999999,2.2207016695872274e-16,3866,1.17173351,509.50151626200403,362.71045965050536,2427.173052343617,3299.3850282561266,209.0,0.13676236044657095
105,12,114.12228449999999,22.550975250000004,93,772556.6757,3472.0644,509,401,1652,62.67118119500714,143.5,0.3578881673761798,1.8947970088064485,0.9158258993936192,0.9028026369356696,0.9706680189413691,1.1205280624054865,1.1147602647089199,0.7499999999999999,0.0,2562,0.7725566757,658.8513386915,519.0557697746394,2138.354443061607,3316.2615515277466,1023.0,0.1402737047898338
106,6,114.12334433333335,22.541583333333335,96,578717.374,3486.9251,347,242,772,83.55378267597706,180.25,0.29310006463151694,1.6755674670400293,1.011878433393062,1.0440956922983378,0.9054390129212166,1.0111335847907605,1.0638222040973047,0.6333333333333333,0.0,1361,0.578717374,599.6018360423373,418.16612196612573,1333.9844882555747,2351.7524462640376,1056.0,0.17069128787878787
107,11,114.13145990909089,22.54293,88,888716.949,4445.4393,71,87,332,72.26150133645385,192.99999999999997,0.3801209961166913,2.041197557095184,1.0074490560138036,0.8394430528507474,0.9550861722447597,1.1377892492211992,1.1415371615266217,0.7372750292985099,0.00015172428225860128,490,0.888716949,79.89045340014101,97.89393585651082,373.5722609696735,551.3566502263253,968.0,0.19938016528925617
108,5,114.1291334,22.5517216,33,1268992.177,4624.9846,496,411,1512,58.019562822923056,115.5,0.42834133156085263,1.960545624019392,0.8661506705010447,0.7567431149065075,1.0177302781039608,1.217093593163212,1.122784240893875,0.7614400000000001,1.1103508347936137e-16,2419,1.2689921769999999,390.8613535920955,323.8790651740953,1191.4967069178394,1906.2371256840304,363.0,0.3181818181818182
109,5,114.140705,22.5622604,39,3157104.734,8051.7688,133,210,624,37.34865859039288,91.0,0.43494680742759406,2.061653695370108,0.9529064857681272,0.8501991648693215,1.016020828380241,1.1103288760644285,1.0459592600913137,0.7599999999999999,1.1103508347936137e-16,967,3.1571047340000002,42.12720552716386,66.5166403060482,197.64944548082894,306.293291314041,429.0,0.21212121212121213
110,11,114.14726445454545,22.548112818181817,69,2139446.673,7196.6595,144,179,555,32.34067743503171,91.0833333333333,0.454396189323211,2.2545909913753834,1.0000362822856732,1.0283750212182168,0.9101554710770373,1.0205684070770717,1.0402441023444886,0.7581818181818178,1.1103508347936137e-16,878,2.139446673,67.30712282633276,83.66649295773308,259.41286922649084,410.3864850105567,759.0,0.12000439174352213
111,11,114.12752372727273,22.565236272727272,85,1762254.322,6156.0443,231,128,746,55.451877270053195,122.20833333333331,0.3358491723834806,1.7672981479551266,0.9131955813429503,0.9867700413687831,0.9961684509323488,1.0465873485139803,1.0846282923080246,0.7654807048384396,0.027535838273458835,1105,1.762254322,131.0821015537847,72.63423809040884,423.321418870664,627.0377585148575,935.0,0.13070409982174686
115,2,114.115163,22.574229,23,725085.3164,4897.8817,101,347,826,6.524032989308369,34.99999999999999,0.9466551027005076,3.755345817556529,0.8549808963083348,0.9477283545096291,1.3741278982508651,0.9956925960476544,0.8595690619209109,0.7599999999999999,1.1103508347936137e-16,1274,0.7250853164,139.29395302260187,478.5643732558698,1139.1762890759321,1757.0346153544037,253.0,0.13833992094861658
123,3,114.14219800000001,22.581067,28,3689377.051,9522.7455,7,22,63,17.565917069521177,60.08333333333333,0.6612300924181005,2.656659853395216,0.8557086710107243,0.978680098271646,1.0511970048361803,1.092717739533228,1.0002604387190788,0.7599999999999999,2.2207016695872274e-16,92,3.689377051,1.8973392806524507,5.963066310621988,17.076053525872055,24.936459117146494,308.0,0.19507575757575757
124,5,114.18848820000001,22.563156,56,26919024.71,25128.1089,80,48,238,48.11450340188254,119.0,0.4963994421251431,2.1337987385867874,0.9332941360891724,0.615218733181661,0.9232997691424968,1.3222665958669264,1.1267096738677242,0.7599999999999999,1.1103508347936137e-16,366,26.919024710000002,2.971875870758469,1.7831255224550815,8.841330715506444,13.596332108719995,616.0,0.19318181818181818
202,9,114.05095733333332,22.557551444444446,57,2044358.687,5688.5707,53,44,261,37.63885371905053,91.0,0.41195030893108536,2.0457583691244876,0.9534585166496506,0.9495839742838847,1.0212023568348867,1.0479025139280223,0.8750078346965344,0.7599999999999999,0.0,358,2.044358687,25.925000508484647,21.52264193157216,127.66839873046213,175.11604117051894,627.0,0.14513556618819776
