zone_id,category,time,predicted_kwh,actual_kwh,error_kwh,abs_error_kwh,abs_pct_error
102,User-selected,2023-02-28 00:00:00,99.55519221980717,55.99999999999999,-43.555192219807175,43.555192219807175,77.7771289639414
102,User-selected,2023-02-28 01:00:00,91.26105946608703,55.99999999999999,-35.26105946608704,35.26105946608704,62.96617761801257
102,User-selected,2023-02-28 02:00:00,59.15969380817031,55.99999999999999,-3.159693808170317,3.159693808170317,5.6423103717327105
102,User-selected,2023-02-28 03:00:00,60.37565462854594,55.99999999999999,-4.375654628545945,4.375654628545945,7.813668979546332
102,User-selected,2023-02-28 04:00:00,53.07988970629214,55.99999999999999,2.9201102937078502,2.9201102937078502,5.214482667335448
102,User-selected,2023-02-28 05:00:00,43.09621139162905,55.99999999999999,12.903788608370945,12.903788608370945,23.042479657805263
102,User-selected,2023-02-28 06:00:00,58.27652226495012,55.99999999999999,-2.276522264950124,2.276522264950124,4.065218330268079
102,User-selected,2023-02-28 07:00:00,57.854135874714366,54.83333333333333,-3.0208025413810375,3.0208025413810375,5.509062385497334
102,User-selected,2023-02-28 08:00:00,57.04776185699157,38.49999999999999,-18.547761856991578,18.547761856991578,48.17600482335476
102,User-selected,2023-02-28 09:00:00,56.59977629159003,28.0,-28.599776291590032,28.599776291590032,102.1420581842501
102,User-selected,2023-02-28 10:00:00,56.47178041576102,28.0,-28.471780415761017,28.471780415761017,101.68493005628936
102,User-selected,2023-02-28 11:00:00,52.7599000167196,28.0,-24.759900016719598,24.759900016719598,88.42821434542714
102,User-selected,2023-02-28 12:00:00,55.396615058797295,28.0,-27.396615058797295,27.396615058797295,97.84505378141891
102,User-selected,2023-02-28 13:00:00,56.343784539932,32.08333333333333,-24.260451206598674,24.260451206598674,75.61699077381407
102,User-selected,2023-02-28 14:00:00,50.583970127626365,34.99999999999999,-15.583970127626372,15.583970127626372,44.52562893607536
102,User-selected,2023-02-28 15:00:00,48.868825391517575,34.99999999999999,-13.868825391517582,13.868825391517582,39.625215404335954
102,User-selected,2023-02-28 16:00:00,49.72639775957197,34.99999999999999,-14.726397759571974,14.726397759571974,42.07542217020565
102,User-selected,2023-02-28 17:00:00,49.89279239814969,34.99999999999999,-14.892792398149695,14.892792398149695,42.55083542328485
102,User-selected,2023-02-28 18:00:00,50.45597425179734,36.74999999999999,-13.70597425179735,13.70597425179735,37.295168032101635
102,User-selected,2023-02-28 19:00:00,51.92792682383101,43.74999999999999,-8.177926823831015,8.177926823831015,18.69240416875661
102,User-selected,2023-02-28 20:00:00,57.90533422504596,57.74999999999999,-0.15533422504596928,0.15533422504596928,0.2689770130666135
102,User-selected,2023-02-28 21:00:00,61.18202864626874,63.0,1.8179713537312594,1.8179713537312594,2.8856688154464436
102,User-selected,2023-02-28 22:00:00,64.35632636682828,63.0,-1.3563263668282843,1.3563263668282843,2.152898994965531
102,User-selected,2023-02-28 23:00:00,64.4587230674915,63.0,-1.4587230674915048,1.4587230674915048,2.315433440462706
